"Tr A(WL),""Tr A(LEVEL)[LOG]"",""Tr B(WL)"",""Tr B(LEVEL)[LOG]"",""Tr C(WL)"",""Tr C(LEVEL)[LOG]"",""Tr D(WL)"",""Tr D(LEVEL)[LOG]"",""Tr E(WL)"",""Tr E(LEVEL)[LOG]"",""Tr F(WL)"",""Tr F(LEVEL)[LOG]"",""Tr G(WL)"",""Tr G(LEVEL)[LOG]"""
 754.4000, -68.226,  754.4000, -83.421,  , ,  , ,  , ,  , ,  , 
 754.6000, -68.203,  754.6000, -84.995,  , ,  , ,  , ,  , ,  , 
 754.8000, -68.199,  754.8000, -86.538,  , ,  , ,  , ,  , ,  , 
 755.0000, -68.222,  755.0000, -86.108,  , ,  , ,  , ,  , ,  , 
 755.2000, -68.193,  755.2000, -85.876,  , ,  , ,  , ,  , ,  , 
 755.4000, -68.148,  755.4000, -85.790,  , ,  , ,  , ,  , ,  , 
 755.6000, -68.134,  755.6000, -86.116,  , ,  , ,  , ,  , ,  , 
 755.8000, -68.102,  755.8000, -86.086,  , ,  , ,  , ,  , ,  , 
 756.0000, -68.075,  756.0000, -85.798,  , ,  , ,  , ,  , ,  , 
 756.2000, -68.107,  756.2000, -85.056,  , ,  , ,  , ,  , ,  , 
 756.4000, -68.144,  756.4000, -84.671,  , ,  , ,  , ,  , ,  , 
 756.6000, -68.171,  756.6000, -83.766,  , ,  , ,  , ,  , ,  , 
 756.8000, -68.165,  756.8000, -82.618,  , ,  , ,  , ,  , ,  , 
 757.0000, -68.129,  757.0000, -83.129,  , ,  , ,  , ,  , ,  , 
 757.2000, -68.117,  757.2000, -84.564,  , ,  , ,  , ,  , ,  , 
 757.4000, -68.130,  757.4000, -84.380,  , ,  , ,  , ,  , ,  , 
 757.6000, -68.137,  757.6000, -84.431,  , ,  , ,  , ,  , ,  , 
 757.8000, -68.125,  757.8000, -86.606,  , ,  , ,  , ,  , ,  , 
 758.0000, -68.112,  758.0000, -89.168,  , ,  , ,  , ,  , ,  , 
 758.2000, -68.075,  758.2000, -90.249,  , ,  , ,  , ,  , ,  , 
 758.4000, -68.037,  758.4000, -89.061,  , ,  , ,  , ,  , ,  , 
 758.6000, -68.020,  758.6000, -89.106,  , ,  , ,  , ,  , ,  , 
 758.8000, -68.013,  758.8000, -89.854,  , ,  , ,  , ,  , ,  , 
 759.0000, -68.002,  759.0000, -87.658,  , ,  , ,  , ,  , ,  , 
 759.2000, -68.004,  759.2000, -85.816,  , ,  , ,  , ,  , ,  , 
 759.4000, -68.004,  759.4000, -87.783,  , ,  , ,  , ,  , ,  , 
